中国人/2220794	刘德华演唱的歌曲
新界/4878	香港三大地理分区之一
桃姐/2988259	2012电影版
旺角卡门/27681	1988年王家卫执导电影
爱你一万年/1507	刘德华演唱的歌曲
今天/6956019	刘德华演唱歌曲
笨小孩/4627439	1998年刘德华演唱歌曲
冰雨/3343572	刘德华演唱歌曲
暗战/34830	1999年刘德华、刘青云主演电影
吉尼斯世界纪录/1069992	《吉尼斯世界纪录大全》中的世界纪录
中国	中国
天若有情/6785998	1990年陈木胜执导电影
大帽山/75677	香港山峰
无间道/9369674	2002年刘伟强、麦兆辉执导电影
黄秋生/506864	香港演员
刘德华/114923	中国香港男演员、歌手、词作人
香港/128775	中华人民共和国香港特别行政区
笨小孩/7569	1998年刘德华专辑
忘情水/10766201	刘德华演唱歌曲
今天/6956068	韩国2011年宋慧乔主演电影
郭富城/149106	香港男歌手、演员
成龙/71648	中国香港演员、导演
吴宗宪/29494	台湾综艺节目主持
KG/6153969	质量单位
高枫/50246	中国男歌手
季军/37180	词语释义
白羊座/23547	占星学
华语电影/77827	华语制作的电影
刘青云/25438	中国香港影视男演员
刘伟强/16475	中国香港导演
小龙女/5007	金庸武侠小说《神雕侠侣》女主角
新潮/5068949	词语
台湾/122340	中华人民共和国所属地区
与龙共舞/3635888	1991年刘德华、张敏等主演电影
纵横四海/6777518	1999年王晶指导的电视剧
黄金时代/1323188	2014年许鞍华导演电影
姨妈的后现代生活/16091	2006年许鞍华执导电影
野兽刑警/3564784	1998年陈嘉上执导电影
日出/1694155	曹禺著名话剧
埃博拉病毒/1758	纤维病毒科埃博拉病毒属病毒
中西区/21730	香港中西区
女人，四十/50170	1995年许鞍华执导电影
粤语/266782	汉藏语系下的语言
北京时间/410384	中国国家标准时间
徐州/6250	江苏省地级市
英语/109997	语言
董建华/6580	十二届全国政协副主席
梁振英/5023131	香港特别行政区行政长官、全国政协副主席
上海	上海
广东话/59898	粤语
成都	成都
北京/128981	中华人民共和国首都
南京/23952	江苏省省会
西安/121614	陕西省省会
张德江/116605	中央政治局常委
重庆/23586	中华人民共和国直辖市
武汉/106764	湖北省省会
人民币/330794	中国人民银行发行的货币
沈阳/13034	辽宁省省会
导演/307826	职业名称
李克强/632714	中共中央政治局常委，国务院总理
广州/72101	广东省省会
普通话/161653	标准官话，中国使用的标准汉语
重庆森林/35477	1994年王家卫执导电影
花样年华/35761	2000年王家卫执导电影
射手座/126373	占星学
一代宗师/28511	2013年王家卫执导电影
春光乍泄/3849847	1997年张国荣、梁朝伟主演电影
珠穆朗玛峰/3058	世界最高峰
泰山/5447	世界文化与自然双重遗产，国家5A级旅游景区
兵马俑/60649	秦始皇兵马俑
长城/14251	中国古代第一军事工程
青海湖/113605	青海省青海湖
清明节/137575	中华民族的传统节日
春节/136876	中国传统节日
巨蟹座/2490814	占星学
姜大卫	姜大卫
端午节/1054	中国传统节日
白色巨塔/10126802	2006年蔡岳勋导演的台湾电视剧
澳门/24335	中华人民共和国特别行政区
新不了情/8649401	1993年尔冬升执导电影
长江/388	世界第三长河，亚洲第一长河
红薇/77960	香港著名女演员
苏州/122945	江苏省地级市
狮子座/8162	占星学
创世纪/9594124	1999年香港TVB电视剧
演员/3106682	职业
姜文杰/2959500	中国香港男歌手
三少爷的剑/10624985	1977年香港邵氏尔冬升、余安安主演武侠电影
天地豪情/15182	1998年罗嘉良、陈锦鸿主演TVB电视剧
赤壁/6425	吴宇森执导系列历史电影
中国/1122445	世界四大文明古国之一
国语/64453	中国古代经典著作
